Gene1,Gene2,Correlation,p-value
PIK3CA,PIK3CB,0.459,0.0
PIK3CA,PIK3CD,0.0932,0.0011
PIK3CA,PIK3R1,0.3309,0.0
PIK3CA,PIK3R2,-0.0495,0.0833
PIK3CA,PTEN,0.3631,0.0
PIK3CA,AKT1,-0.2316,0.0
PIK3CA,AKT2,-0.1007,0.0004
PIK3CA,AKT3,0.3801,0.0
PIK3CA,PDPK1,0.1837,0.0
PIK3CA,MTOR,0.4042,0.0
PIK3CA,RPS6KB1,0.2514,0.0
PIK3CA,EIF4EBP1,-0.3083,0.0
PIK3CA,GSK3B,0.439,0.0
PIK3CA,MDM2,0.1446,0.0
PIK3CA,TP53,-0.143,0.0
PIK3CA,FOXO1,0.4134,0.0
PIK3CA,FOXO3,0.3773,0.0
PIK3CA,TSC1,0.3543,0.0
PIK3CA,TSC2,-0.2453,0.0
PIK3CB,PIK3CD,-0.0974,0.0006
PIK3CB,PIK3R1,0.1027,0.0003
PIK3CB,PIK3R2,-0.0937,0.001
PIK3CB,PTEN,0.1834,0.0
PIK3CB,AKT1,-0.148,0.0
PIK3CB,AKT2,-0.074,0.0095
PIK3CB,AKT3,0.1419,0.0
PIK3CB,PDPK1,0.3267,0.0
PIK3CB,MTOR,0.3642,0.0
PIK3CB,RPS6KB1,0.212,0.0
PIK3CB,EIF4EBP1,-0.1877,0.0
PIK3CB,GSK3B,0.5644,0.0
PIK3CB,MDM2,0.2668,0.0
PIK3CB,TP53,-0.1047,0.0002
PIK3CB,FOXO1,0.028,0.3277
PIK3CB,FOXO3,0.1352,0.0
PIK3CB,TSC1,0.1198,0.0
PIK3CB,TSC2,-0.2052,0.0
PIK3CD,PIK3R1,0.1263,0.0
PIK3CD,PIK3R2,0.001,0.9729
PIK3CD,PTEN,-0.0409,0.1519
PIK3CD,AKT1,-0.1062,0.0002
PIK3CD,AKT2,-0.018,0.5299
PIK3CD,AKT3,0.3998,0.0
PIK3CD,PDPK1,-0.248,0.0
PIK3CD,MTOR,0.077,0.007
PIK3CD,RPS6KB1,-0.2012,0.0
PIK3CD,EIF4EBP1,0.0,0.9993
PIK3CD,GSK3B,-0.2332,0.0
PIK3CD,MDM2,-0.2475,0.0
PIK3CD,TP53,0.0804,0.0048
PIK3CD,FOXO1,0.3755,0.0
PIK3CD,FOXO3,0.0245,0.391
PIK3CD,TSC1,-0.0256,0.3706
PIK3CD,TSC2,-0.07,0.0143
PIK3R1,PIK3R2,0.0814,0.0043
PIK3R1,PTEN,0.4003,0.0
PIK3R1,AKT1,-0.077,0.007
PIK3R1,AKT2,-0.1659,0.0
PIK3R1,AKT3,0.272,0.0
PIK3R1,PDPK1,0.1506,0.0
PIK3R1,MTOR,0.2339,0.0
PIK3R1,RPS6KB1,-0.0379,0.1846
PIK3R1,EIF4EBP1,-0.4202,0.0
PIK3R1,GSK3B,0.1173,0.0
PIK3R1,MDM2,-0.0222,0.4378
PIK3R1,TP53,0.0031,0.9136
PIK3R1,FOXO1,0.5137,0.0
PIK3R1,FOXO3,0.38,0.0
PIK3R1,TSC1,0.2914,0.0
PIK3R1,TSC2,-0.0127,0.6573
PIK3R2,PTEN,-0.0333,0.2436
PIK3R2,AKT1,0.084,0.0032
PIK3R2,AKT2,0.1183,0.0
PIK3R2,AKT3,-0.045,0.115
PIK3R2,PDPK1,0.0888,0.0019
PIK3R2,MTOR,0.0479,0.0934
